fahrzeug,jahr,energy_cost,fixed_cost,financing_cost,acquisition_cost,residual_credit,total_cost,discounted_total_cost,cumulative_cost,cumulative_discounted_cost
EV,1,1270.296781,1250.000000,0.000000,45000.000000,0.000000,47520.296781,47520.296781,47520.296781,47520.296781
EV,2,1270.296781,1250.000000,0.000000,0.000000,0.000000,2520.296781,2520.296781,50040.593562,50040.593562
EV,3,1270.296781,1250.000000,0.000000,0.000000,0.000000,2520.296781,2520.296781,52560.890343,52560.890343
EV,4,1270.296781,1250.000000,0.000000,0.000000,0.000000,2520.296781,2520.296781,55081.187124,55081.187124
EV,5,1270.296781,1250.000000,0.000000,0.000000,20250.000000,-17729.703219,-17729.703219,37351.483905,37351.483905
ICE,1,2129.400000,1770.000000,0.000000,35000.000000,0.000000,38899.400000,38899.400000,38899.400000,38899.400000
ICE,2,2129.400000,1770.000000,0.000000,0.000000,0.000000,3899.400000,3899.400000,42798.800000,42798.800000
ICE,3,2129.400000,1770.000000,0.000000,0.000000,0.000000,3899.400000,3899.400000,46698.200000,46698.200000
ICE,4,2129.400000,1770.000000,0.000000,0.000000,0.000000,3899.400000,3899.400000,50597.600000,50597.600000
ICE,5,2129.400000,1770.000000,0.000000,0.000000,14000.000000,-10100.600000,-10100.600000,40497.000000,40497.000000
